ISO3c,Year,election,elect_dem_index,Enph_Schmidt,Volat_A_Cohen,Volat_B_Cohen,Evolat_Cohen,inflation,gini,polpol,purges,Pol_polarization,Jpurges,polity2,Democratic,GDPpc,GDP_growth,GDPpc_growth,Inflation,Gini,GDPpc_lag,GDPpc_growth_lag
PRY,2002,0,0.545,2.271114,0.510500013828278,0.0549999997019768,0.56550002098083496,10.51,57.3,-0.934,-0.232,3.82614465826145,4.99264435454211,7,0,3724.83555553166,-0.0214043949985694,,10.5102420856612,57.3,3796.67781393159,-0.834054716746095
PRY,2003,1,0.567,3.1777558,0.518499970436096,0.12049999833107,0.63899993896484397,14.24,54.9,-0.985,-0.232,3.75846051758461,4.99264435454211,8,1,3816.08658226881,4.32074548551591,,14.2367970499143,54.9,3724.83555553166,-0.0214043949985694
PRY,2004,0,0.599,3.1777558,0.518499970436096,0.12049999833107,0.63899993896484397,4.32,52.3,-0.985,-0.127,3.75846051758461,4.79955866127253,8,1,3903.30912069431,4.05741836363771,,4.32326492967491,52.3,3816.08658226881,4.32074548551591
PRY,2004,0,0.599,3.1777558,0.518499970436096,0.12049999833107,0.63899993896484397,4.32,52.3,-0.985,-0.127,3.75846051758461,4.79955866127253,8,1,,,1,,,3903.30912069431,4.05741836363771
PRY,2005,0,0.599,3.1777558,0.518499970436096,0.12049999833107,0.63899993896484397,6.81,51.4,-0.985,-0.127,3.75846051758461,4.79955866127253,8,1,,,1,,,,
PRY,2005,0,0.599,3.1777558,0.518499970436096,0.12049999833107,0.63899993896484397,6.81,51.4,-0.985,-0.127,3.75846051758461,4.79955866127253,8,1,3922.55852606756,2.13349066459601,,6.80738203116371,51.4,,
PRY,2006,0,0.599,3.1777558,0.518499970436096,0.12049999833107,0.63899993896484397,9.59,53,-0.985,0.233,3.75846051758461,4.13755057006252,8,1,,,1,,,3922.55852606756,2.13349066459601
PRY,2006,0,0.599,3.1777558,0.518499970436096,0.12049999833107,0.63899993896484397,9.59,53,-0.985,0.233,3.75846051758461,4.13755057006252,8,1,4049.16252193417,4.80711719268376,,9.5893494112923,53,,
PRY,2007,0,0.599,3.1777558,0.518499970436096,0.12049999833107,0.63899993896484397,8.13,53,-0.985,0.233,3.75846051758461,4.13755057006252,8,1,,,1,,,4049.16252193417,4.80711719268376
PRY,2007,0,0.599,3.1777558,0.518499970436096,0.12049999833107,0.63899993896484397,8.13,53,-0.985,0.233,3.75846051758461,4.13755057006252,8,1,4208.04873035811,5.42162287218235,,8.13047417698579,53,,
PRY,2008,1,0.601,3.2258062,0.172499999403954,0.0780000016093254,0.25049999356269798,10.15,50.7,-0.964,0.233,3.78633045786331,4.13755057006252,8,1,,,1,,,4208.04873035811,5.42162287218235
PRY,2008,1,0.601,3.2258062,0.172499999403954,0.0780000016093254,0.25049999356269798,10.15,50.7,-0.964,0.233,3.78633045786331,4.13755057006252,8,1,4420.35042984553,6.4962921197091,,10.1547846489023,50.7,,
PRY,2009,0,0.643,3.2258062,0.172499999403954,0.0780000016093254,0.25049999356269798,2.59,49.1,-1.015,0.419,3.71864631718646,3.79551305627069,8,1,,,1,,,4420.35042984553,6.4962921197091
PRY,2009,0,0.643,3.2258062,0.172499999403954,0.0780000016093254,0.25049999356269798,2.59,49.1,-1.015,0.419,3.71864631718646,3.79551305627069,8,1,4349.6742947847,-0.261137328080281,,2.5919467343056,49.1,,
PRY,2010,0,0.646,3.2258062,0.172499999403954,0.0780000016093254,0.25049999356269798,4.65,51,-1.015,0.419,3.71864631718646,3.79551305627069,8,1,,,1,,,4349.6742947847,-0.261137328080281
PRY,2010,0,0.646,3.2258062,0.172499999403954,0.0780000016093254,0.25049999356269798,4.65,51,-1.015,0.419,3.71864631718646,3.79551305627069,8,1,4767.27790153604,11.0952312685521,,4.6511627906977,51,,
PRY,2011,0,0.637,3.2258062,0.172499999403954,0.0780000016093254,0.25049999356269798,8.25,52.3,-1.015,-0.096,3.71864631718646,4.74255240897389,8,1,,,1,,,4767.27790153604,11.0952312685521
PRY,2011,0,0.637,3.2258062,0.172499999403954,0.0780000016093254,0.25049999356269798,8.25,52.3,-1.015,-0.096,3.71864631718646,4.74255240897389,8,1,4904.14690708979,4.28637120702282,,8.25396825396825,52.3,,
PRY,2012,0,0.615,3.2258062,0.172499999403954,0.0780000016093254,0.25049999356269798,3.68,47.6,-0.86,0.417,3.92435301924353,3.79919087899963,8,1,,,1,,,4904.14690708979,4.28637120702282
PRY,2012,0,0.615,3.2258062,0.172499999403954,0.0780000016093254,0.25049999356269798,3.68,47.6,-0.86,0.417,3.92435301924353,3.79919087899963,8,1,4803.0502955929,-0.708043112316886,,3.6759189797449,47.6,,
PRY,2013,1,0.594,2.3564065,0.125499993562698,0.142999991774559,0.26849997043609602,2.68,47.9,-0.961,0.244,3.79031187790312,4.11732254505333,9,1,,,1,,,4803.0502955929,-0.708043112316886
PRY,2013,1,0.594,2.3564065,0.125499993562698,0.142999991774559,0.26849997043609602,2.68,47.9,-0.961,0.244,3.79031187790312,4.11732254505333,9,1,5130.45389086939,8.29307648940471,,2.68385738718593,47.9,,
