A1;A2;A3;A4a;A4b;A4c;A5;A6;A7;D01;D02a;D02b;D02c;D17;D18;D19;Q01;Q02;Q03;Q04a;Q04b;Q04c;Q04d;Q04e;Q04f;Q04g;Q05a;Q05b;Q05c;Q05d;Q05e;Q06a;Q06b;Q06c;Q06d;Q07;Q08;Q09;Q10b;Q10c;Q11a;Q11b;Q11c;Q12P1b;Q12LHb;Q12LHb_Otro;Q12LHc;TextoQ12LHc_1;Q12LHd;Q12RC;Q12P2b;Q13P1b;Q13P2b;Q14a;Q14b;Q18;Q17a;Q17b;Q17c;Q17d;Q17e;Q15a;Q15b;Q15c;Q15d;Q16a;Q16b;Q16c;Q21;Q22c;Q22d;Q22e;Q23a;Q23b;P01;P02a;TextoP02a;P02b;P02c;P03;P04;P05;P06;P07a;P08a;P07b;P08b;P07c;P08c;P09;OCUPACION;ENCUEJEFE;OCUPACJEFE;D06;INSTRUC;D04;D05;D09a;D09b;D10a;D10b;D10c;TextoD10c;D10d;D10e;D12a;TextoD12a_1;D12b;D12c;TextoD12_1;D14;D16;TextoD16_1;D20;ACTIVIDAD;NIVELOCUP;CLASESOC;NIVELEDUC;EDUC;EDUC1;ESEC;CSEC;CSEC3;CSEC2
65;G015;2;1;29;2020;0.894882409322849;1;2;2;14;1;1997;10;10;10011;2;2;2;1;3;2;3;4;2;2;5;5;4;2;4;1;1;4;2;1;2;2;10;1;3;2;2;73;730;;998;;3;1;30;90;90;5;4;4;2;10;98;10;98;7;0;4;0;8;0;2;2;10;2;4;8;2;2;30;;30;99;2;1;2;2;;;2;2;;;1;11;2;26;;51;4;2;98;9999998;3;9;998;;9;5;3;;7;;;1;121;;3;4;3;4;5;3;2;8;2;2;1
66;G019;1;1;29;2020;0.832052522295433;1;2;2;4;7;1955;10;10;10062;2;1;2;2;4;4;4;4;2;2;2;4;2;4;4;1;5;4;5;4;2;3;4;4;4;5;2;74;740;;990;2000;2;1;10;20;10;2;5;6;1;8;8;8;5;0;8;10;6;1;8;5;1;4;3;1;2;2;4;11;;11;99;2;1;1;2;;;;;1;4;1;75;1;75;1;16;3;2;1;0;1;1;1;;5;1;3;;7;;;1;121;;1;3;1;6;2;1;1;3;4;4;3
67;G024;1;1;29;2020;0.832052522295433;1;2;2;14;6;1946;11;11;11629;4;3;4;4;2;4;4;4;2;4;2;4;4;4;4;2;2;2;4;3;2;2;2;2;2;4;2;10;197;LISTA 33 CON LACALLE POU ;990;33;1;1;10;10;10;2;4;10;3;10;5;5;8;3;10;8;5;7;10;8;1;6;3;1;2;2;2;11;;11;99;9;2;2;2;;;;;4;4;1;14;2;80;;16;1;2;1;9999998;1;1;1;;2;4;3;;7;;;1;121;;2;4;4;3;2;1;1;6;3;4;3
68;G017;2;1;29;2020;108.481.113.361.927;1;2;1;17;10;1962;10;10;10022;2;3;2;2;3;2;8;1;2;2;1;2;3;4;8;4;1;1;5;2;2;3;2;2;5;4;2;30;310;;990;90;2;1;30;30;30;2;5;10;7;8;8;3;7;6;10;9;0;6;10;5;2;6;3;4;2;2;1;11;;20;99;2;2;2;1;1;1;;;;;1;13;1;52;;16;4;2;1;700;1;1;1;;5;2;8;;7;;;1;121;;3;4;1;5;2;1;1;3;4;4;3
69;G013;2;1;29;2020;0.832052522295433;1;2;2;25;8;1966;10;10;10014;1;3;2;2;4;4;4;4;4;4;7;2;2;4;5;2;2;2;2;3;2;3;2;2;5;5;2;10;197;GLORIA RODRIGUEZ;990;711;1;1;10;10;10;5;5;5;2;3;5;5;4;2;10;9;4;4;9;8;1;2;2;1;2;2;2;10;;10;99;2;2;9;2;2;1;;;;;1;67;2;51;1;26;1;2;2;9999997;1;1;1;;1;4;3;;1;;;1;121;;3;3;2;5;4;2;2;6;3;4;3
70;G023;1;1;29;2020;108.481.113.361.927;1;2;1;1;1;1961;10;11;10008;2;2;2;1;4;4;4;2;5;5;4;1;8;4;4;8;1;5;2;3;4;3;4;2;2;1;2;98;999;;997;;2;2;10;20;10;4;4;6;0;6;5;7;4;0;7;5;8;0;7;4;2;3;3;1;2;2;3;20;;20;20;2;2;2;2;3;3;;;;;2;14;1;23;8;44;3;2;97;9999997;1;1;1;;1;4;3;;;;;1;121;;1;4;5;2;6;3;3;11;1;1;1
71;G015;2;1;29;2020;0.894882409322849;1;2;2;19;6;1997;11;11;11625;2;3;2;2;2;4;2;4;2;2;2;2;2;2;4;2;2;2;4;2;2;2;1;3;2;4;4;30;320;;998;;1;2;30;90;90;4;2;4;4;7;7;7;5;9;4;4;0;8;4;7;2;1;2;4;2;2;2;30;;30;99;1;2;2;2;;;4;3;;;1;46;1;46;1;36;1;2;4;5000;3;9;998;;9;5;3;;7;;;1;121;;5;2;3;4;4;2;2;7;2;2;1
72;G022;1;1;29;2020;0.832052522295433;1;2;2;16;2;1959;11;11;11001;2;2;2;2;4;4;4;4;2;4;4;4;4;4;4;2;2;4;2;2;2;2;1;1;2;1;4;30;340;;998;;2;2;30;30;30;5;5;5;2;6;8;10;8;10;2;0;0;10;5;0;2;1;2;4;2;2;8;10;;20;99;1;2;2;2;;;4;3;;;2;10;2;25;;23;1;2;5;0;1;1;1;;3;2;3;;7;;;1;121;;4;4;5;2;3;2;1;8;2;2;1
73;G013;2;1;29;2020;0.832052522295433;1;2;2;13;6;1968;27;27;27001;1;2;2;1;4;4;4;4;4;4;4;4;2;4;4;2;2;4;4;2;2;2;2;2;4;2;2;10;120;;990;ANDREA VIAGA CANDIDATA SENADORA;1;1;10;10;10;4;4;5;0;6;7;10;6;2;8;6;3;4;8;7;3;2;2;1;8;2;2;10;;10;99;2;2;2;2;;;4;4;;;1;22;1;22;1;64;4;1;7;9999997;1;1;1;;4;4;3;;7;;;1;121;;3;1;5;2;6;3;3;11;1;1;1
74;G017;2;1;29;2020;108.481.113.361.927;1;2;1;12;4;1947;10;10;10011;1;1;3;4;4;1;4;5;2;4;4;4;2;5;5;2;2;4;2;1;4;2;1;97;1;1;8;30;320;;990;PAR GARCIA;3;2;30;30;30;5;4;8;3;10;10;10;9;8;0;0;0;5;10;7;2;1;1;5;2;2;2;99;;99;99;1;2;2;1;;;2;1;;;3;14;1;20;;56;2;2;5;0;1;2;998;;9;2;4;;7;;;6;121;;1;4;6;1;6;3;3;12;1;1;1
