A1;A2;A3;A4a;A4b;A4c;A5;A6;A7;D01;D02a;D02b;D02c;D17;D18;D19;Q01;Q02;Q03;Q04a;Q04b;Q04c;Q04d;Q04e;Q04f;Q04g;Q05a;Q05b;Q05c;Q05d;Q05e;Q06a;Q06b;Q06c;Q06d;Q07;Q08;Q09;Q10b;Q10c;Q11a;Q11b;Q11c;Q12P1b;Q12LHb;Q12LHb_Otro;Q12LHc;TextoQ12LHc_1;Q12LHd;Q12RC;Q12P2b;Q13P1b;Q13P2b;Q14a;Q14b;Q18;Q17a;Q17b;Q17c;Q17d;Q17e;Q15a;Q15b;Q15c;Q15d;Q16a;Q16b;Q16c;Q21;Q22c;Q22d;Q22e;Q23a;Q23b;P01;P02a;TextoP02a;P02b;P02c;P03;P04;P05;P06;P07a;P08a;P07b;P08b;P07c;P08c;P09;OCUPACION;ENCUEJEFE;OCUPACJEFE;D06;INSTRUC;D04;D05;D09a;D09b;D10a;D10b;D10c;TextoD10c;D10d;D10e;D12a;TextoD12a_1;D12b;D12c;TextoD12_1;D14;D16;TextoD16_1;D20;ACTIVIDAD;NIVELOCUP;CLASESOC;NIVELEDUC;EDUC;EDUC1;ESEC;CSEC;CSEC3;CSEC2
664;G020;2;2;8;2020;108.481.113.361.927;1;4;1;9;9;1953;13;13;13001;3;3;4;2;2;4;4;4;4;5;2;2;4;2;2;2;5;4;5;2;2;3;2;3;2;2;3;91;999;;991;;91;91;91;10;10;2;2;6;3;8;9;10;4;2;7;0;0;0;4;2;3;2;2;4;1;2;3;11;;20;99;1;1;2;2;1;1;;;;;1;14;1;31;;23;1;2;2;0;1;2;998;;9;1;8;;7;;;1;121;;2;4;2;5;3;2;1;5;3;4;3
665;G023;1;2;8;2020;0.894882409322849;1;4;2;1;1;1999;11;11;11521;3;2;5;4;2;3;4;1;1;1;2;2;2;5;5;2;2;4;4;2;2;1;1;1;2;1;4;30;310;;990;90;1;2;30;95;90;4;5;4;3;10;7;6;5;10;2;3;1;10;0;6;2;1;2;2;1;2;1;30;;30;30;1;2;2;1;2;2;;;;;2;11;2;92;;24;4;2;2;3600;1;2;998;;9;4;3;;;;;1;121;;10;4;5;2;4;2;1;9;2;2;1
666;G014;2;2;8;2020;116.672.730.975.602;1;4;1;15;3;2001;22;22;22999;2;4;2;2;2;4;4;2;2;4;4;4;8;2;4;2;1;4;4;2;2;2;2;2;3;2;2;10;198;;990;MOREIRA;2;1;10;90;90;2;4;7;3;8;6;9;98;2;6;5;3;5;6;6;2;2;2;8;2;2;3;10;;10;10;2;2;2;2;;;3;2;;;2;11;2;76;;51;4;2;1;0;3;9;998;;9;5;3;;4;;;1;121;;2;4;0;6;5;3;2;5;3;4;3
667;G021;1;2;8;2020;136.642.050.352.914;1;4;1;2;6;1976;10;10;10023;2;3;4;2;2;4;4;4;2;4;2;4;2;4;4;2;4;4;5;1;2;4;2;2;4;5;3;98;999;;997;;1;1;97;97;97;5;5;6;3;5;4;7;4;3;7;5;6;3;7;6;1;2;2;1;8;2;1;20;;20;99;2;2;9;2;2;2;;;;;1;50;1;50;1;56;1;2;97;0;1;1;1;;4;1;3;;7;;;1;121;;5;2;3;5;6;3;3;9;2;2;1
668;G012;1;2;8;2020;108.481.113.361.927;1;4;1;24;10;1970;23;23;23001;4;4;2;2;4;4;2;2;4;2;2;2;2;4;4;2;4;1;5;1;1;4;4;4;5;5;2;74;740;;998;;2;1;10;20;10;5;2;10;1;8;9;10;98;0;8;9;10;0;7;9;2;4;3;1;2;2;2;20;;20;99;2;2;9;2;;;;;3;1;1;52;1;52;1;22;3;2;5;0;1;1;3;;1;4;3;;7;;;1;121;;1;2;1;5;3;2;1;4;4;4;3
669;G013;2;2;8;2020;0.832052522295433;1;4;2;19;2;1974;25;25;25001;4;4;4;2;2;4;2;4;2;2;4;4;5;5;2;4;2;4;4;1;2;4;97;3;5;5;5;91;999;;991;;91;91;91;91;91;1;5;97;0;0;0;0;0;0;0;0;0;0;0;3;4;96;9;;2;2;1;10;;20;99;2;1;2;1;1;1;;;;;1;13;2;51;;14;1;2;3;0;1;2;998;;9;1;1;;7;;;1;121;;5;4;2;5;2;1;1;4;4;4;3
670;G020;2;2;8;2020;0.832052522295433;1;4;2;1;8;1971;24;24;24001;2;3;2;2;2;4;2;4;2;4;4;2;4;4;4;2;2;4;2;1;2;1;1;1;2;1;4;30;398;;998;;2;97;95;30;30;4;5;4;3;9;10;10;7;9;0;1;0;8;2;1;2;1;2;3;2;2;3;30;;11;99;9;2;9;1;;;4;4;;;1;62;1;62;1;52;1;2;4;0;2;9;998;;9;5;3;;7;;;1;121;;2;3;5;2;5;3;2;10;1;1;1
671;G019;1;2;8;2020;108.481.113.361.927;1;4;1;30;10;1965;10;10;10023;1;1;2;2;4;2;4;3;2;2;4;4;2;4;4;2;2;4;2;2;2;1;1;1;2;1;4;30;397;738 NIN NOVOA;990;CON BERGARA 738 ;1;2;30;30;30;5;5;0;0;10;10;10;10;10;0;0;0;10;0;0;2;1;1;4;2;2;2;20;;30;99;2;1;2;1;2;3;;;;;1;51;1;51;1;16;1;1;5;0;1;2;998;;9;4;3;;7;;;1;121;;3;2;2;5;2;1;1;4;4;4;3
672;G023;1;2;8;2020;0.894882409322849;1;4;2;1;1;1999;27;27;27522;2;3;2;2;2;4;4;4;2;4;5;4;4;4;5;1;1;2;2;1;2;2;1;1;2;1;3;30;360;;990;202;3;2;30;90;90;4;5;5;4;7;7;8;7;7;4;2;0;6;2;3;3;1;2;2;1;2;2;30;;30;11;1;1;2;2;;;2;2;;;1;11;2;51;;52;4;2;98;0;3;9;998;;9;5;3;;;;;1;121;;2;4;2;5;5;3;2;7;2;2;1
673;G012;1;2;8;2020;0.832052522295433;1;4;2;19;5;1963;10;10;10023;2;3;3;1;4;4;4;2;1;4;2;2;1;2;4;5;2;2;5;1;2;3;5;5;4;2;2;60;600;;998;;97;1;91;30;30;4;5;5;2;6;9;98;5;8;4;3;0;9;3;2;2;5;2;4;2;2;2;20;;20;99;2;1;2;1;3;2;;;;;1;14;1;55;;16;3;2;1;0;1;1;1;;5;1;3;;7;;;1;121;;1;4;1;5;2;1;1;3;4;4;3
674;G021;1;2;8;2020;0.894882409322849;1;4;2;3;10;1999;11;11;11521;2;3;2;4;2;2;8;2;2;4;4;2;2;2;2;4;2;2;4;3;4;3;2;2;2;5;2;10;110;;998;;2;1;10;90;90;5;5;10;6;10;8;7;9;5;10;8;7;8;10;7;2;2;2;1;1;2;1;20;;10;99;2;2;2;1;;;;;2;2;2;10;2;52;;16;1;2;1;0;1;1;1;;1;2;1;;;;;1;121;;3;4;1;5;2;1;1;3;4;4;3
675;G019;1;2;8;2020;0.894882409322849;1;4;2;27;7;2001;11;11;11521;2;2;4;2;4;3;4;4;2;3;4;4;4;2;4;1;1;4;2;2;4;2;1;1;3;8;5;30;360;;990;ANDRADE;2;2;30;90;90;4;4;5;0;10;10;10;5;10;0;0;0;8;0;0;2;1;2;4;2;2;2;99;;99;99;1;1;2;2;;;2;2;;;1;11;2;46;;26;4;2;98;0;3;9;998;;9;5;3;;7;;;1;121;;3;4;3;4;4;2;2;7;2;2;1
676;G014;2;2;8;2020;104.804.752.757.694;1;4;2;15;9;1981;10;10;10023;2;8;4;4;1;4;2;2;2;2;4;2;4;8;8;2;1;2;1;2;1;1;1;1;3;2;8;95;999;;995;;95;95;95;30;30;4;4;3;0;10;10;10;10;10;0;0;0;8;1;1;1;1;1;4;2;2;1;99;;99;99;2;1;2;2;;;;;2;2;2;16;1;16;7;21;4;2;1;0;2;9;998;;9;2;1;;3;7;;1;121;;1;4;0;5;3;2;1;3;4;4;3
677;G012;1;2;8;2020;136.642.050.352.914;1;4;1;2;2;1977;22;22;22999;3;4;4;2;2;4;2;2;2;2;4;4;4;2;2;5;5;4;5;1;2;2;1;1;4;4;4;30;397;711;990;711;2;2;30;30;30;2;5;3;3;5;9;98;98;10;0;0;0;10;0;0;3;1;3;2;2;2;1;30;;30;99;2;1;2;1;;;4;4;;;1;72;1;72;1;16;1;2;1;0;1;1;3;;4;4;3;;7;;;1;121;;6;3;1;6;2;1;1;3;4;4;3
678;G020;2;2;8;2020;108.481.113.361.927;1;4;1;16;10;1964;10;10;10023;2;1;2;2;2;2;4;4;2;2;4;2;2;4;4;2;2;4;4;4;4;2;1;1;2;2;4;30;398;;998;;1;1;30;30;30;2;4;4;3;8;9;10;5;7;1;1;2;7;1;2;2;1;2;2;8;2;3;20;;20;99;1;1;2;2;;;3;2;;;2;51;1;51;2;26;1;1;7;0;3;9;998;;9;5;3;;7;;;1;121;;3;2;2;5;4;2;2;6;3;4;3
679;G019;1;2;8;2020;116.672.730.975.602;1;4;1;4;12;1998;18;18;18001;2;3;2;2;2;4;4;2;4;4;4;2;2;4;4;2;2;4;2;2;2;3;3;3;4;2;2;20;230;;990;TALVI;2;1;10;90;90;2;4;6;3;8;6;8;5;4;5;8;7;4;6;8;2;3;2;1;2;2;3;10;;10;99;2;2;2;2;;;;;3;2;1;11;2;82;;26;4;2;6;0;1;1;8;;1;1;3;;7;;;1;121;;4;4;6;1;4;2;2;10;1;1;1
680;G014;2;2;8;2020;0.894882409322849;1;4;2;27;8;1985;28;28;28999;2;3;2;2;2;4;4;2;2;2;4;8;4;4;4;4;4;4;5;1;1;2;98;1;5;5;2;30;398;;998;;2;1;30;30;30;2;4;98;8;8;5;5;5;10;0;0;0;10;0;0;1;1;2;3;2;2;2;20;;10;99;2;1;2;2;;;;;3;2;1;67;2;52;8;21;4;2;2;0;1;1;1;;1;4;3;;7;;;1;121;;3;3;1;5;3;2;1;4;4;4;3
681;G023;1;2;8;2020;136.642.050.352.914;1;4;1;1;1;1979;23;23;23001;3;2;3;2;4;4;4;5;2;2;4;3;2;4;5;4;4;1;2;3;2;2;1;1;3;1;4;30;301;;990;2121;1;2;30;30;30;4;2;5;3;8;7;10;5;5;0;0;2;6;0;3;2;1;2;2;1;2;2;20;;99;99;2;1;2;2;;;;;4;4;2;51;1;51;1;31;1;1;4;0;1;1;11;;3;2;1;;3;;;1;121;;4;2;2;5;3;2;1;5;3;4;3
682;G020;2;2;8;2020;116.672.730.975.602;1;4;1;1;1;1997;10;10;10023;2;3;2;2;5;4;4;4;2;4;5;4;2;2;4;2;1;2;2;2;2;2;1;1;4;2;2;30;398;;998;;2;2;30;90;90;4;2;2;2;8;8;8;5;6;4;2;1;6;6;5;2;1;2;4;2;2;2;30;;30;99;1;1;2;2;;;2;2;;;2;42;2;24;2;63;4;2;7;0;3;9;998;;9;5;3;;7;;;1;121;;3;2;6;1;5;3;2;11;1;1;1
683;G012;1;2;8;2020;108.481.113.361.927;1;4;1;17;1;1969;10;10;10023;1;1;1;1;4;2;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;2;98;2;3;4;3;10;120;;998;;3;2;10;30;30;5;5;5;3;6;10;98;98;3;7;5;0;4;7;0;2;96;9;;2;2;3;20;;20;99;2;2;9;2;;;;;4;3;3;36;1;36;1;16;3;1;3;0;3;9;998;;9;5;3;;7;;;1;121;;2;1;1;5;2;1;1;3;4;4;3
684;G026;2;2;8;2020;116.672.730.975.602;1;4;1;9;5;1991;28;28;28999;1;2;3;1;3;4;1;4;2;4;2;5;3;4;4;2;1;2;2;1;2;2;1;97;2;1;2;30;350;;990;609;3;2;30;30;30;4;5;5;0;10;10;10;10;10;0;3;0;5;0;0;1;1;2;4;2;2;2;10;;20;99;2;1;9;9;2;2;;;;;3;51;2;80;1;23;1;2;5;0;1;2;998;;9;4;1;;7;;;1;121;;3;2;4;3;3;2;1;7;2;2;1
685;G020;2;2;8;2020;136.642.050.352.914;1;4;1;30;5;1975;20;20;20001;4;4;4;2;2;4;2;2;4;2;2;2;2;4;4;4;2;2;4;1;4;2;4;4;4;2;4;40;400;;998;;2;1;10;30;30;4;4;4;0;8;6;4;3;3;3;5;4;4;3;4;2;96;9;;2;2;2;11;;11;99;1;2;2;2;;;;;2;2;1;70;1;70;1;23;4;2;3;0;1;2;998;;9;4;3;;7;;;1;121;;4;3;2;2;3;2;1;5;3;4;3
686;G014;2;2;8;2020;0.894882409322849;1;4;2;21;6;1989;10;10;10041;2;4;2;4;2;4;2;4;2;2;4;4;5;4;2;5;3;5;4;2;1;2;1;1;5;5;4;30;350;;990;609;1;2;30;30;30;4;4;2;3;9;8;5;5;10;0;5;3;6;5;0;4;1;2;6;2;2;2;30;;30;30;1;1;1;1;2;2;;;;;2;16;1;16;7;24;4;2;1;0;1;2;998;;9;5;3;;7;;;1;121;;5;4;0;5;4;2;1;4;4;4;3
687;G019;1;2;8;2020;0.894882409322849;1;4;2;22;1;2001;16;16;16999;4;3;2;2;2;4;4;2;2;4;2;4;4;4;4;4;2;2;4;1;1;2;1;1;2;7;2;30;350;;990;609 MUKICA;1;1;30;90;90;5;4;5;3;5;8;6;4;7;4;3;3;10;4;3;2;96;9;;2;2;2;30;;30;99;2;2;2;2;;;;;2;2;1;32;2;51;8;26;4;2;4;0;1;1;3;;3;4;1;;7;;;1;701;;6;1;2;5;4;2;2;6;3;4;3
688;G012;1;2;8;2020;116.672.730.975.602;1;4;1;19;9;1987;23;23;23001;3;3;2;2;4;2;4;2;2;4;2;4;2;4;4;2;2;2;2;3;4;2;1;1;2;1;4;30;370;;990;VERTIENTES;3;2;30;30;30;4;5;5;4;6;6;7;6;8;4;4;4;8;5;4;2;1;2;2;1;2;2;30;;30;99;1;1;2;1;;;2;1;;;1;80;2;46;1;23;4;2;5;0;1;1;1;;1;4;3;;7;;;1;121;;4;3;3;4;3;2;1;6;3;4;3
689;G023;1;2;8;2020;0.832052522295433;1;4;2;1;12;1963;11;11;11521;3;3;2;2;4;4;5;2;2;4;4;5;2;8;5;1;2;4;4;2;2;2;1;3;3;1;2;30;360;;990;1001;3;2;30;30;30;3;5;3;2;5;7;10;4;6;2;1;0;3;3;5;1;1;3;4;2;2;2;30;;30;31;2;1;2;9;3;4;;;;;2;25;1;25;1;54;1;2;4;0;1;2;998;;9;5;3;;;;;1;121;;2;1;5;2;6;3;3;11;1;1;1
690;G020;2;2;8;2020;136.642.050.352.914;1;4;1;1;1;1979;26;26;26999;2;1;2;2;4;2;4;1;2;2;2;2;2;4;2;4;1;4;5;3;4;1;2;2;4;5;2;10;112;;990;71;1;1;10;30;10;4;2;9;4;10;3;6;1;2;10;3;7;0;10;4;2;2;1;1;2;2;2;11;;11;99;1;1;1;1;;;;;4;4;1;56;1;56;1;16;1;2;1;0;3;9;998;;9;5;8;;7;;;1;121;;3;2;1;5;2;1;1;3;4;4;3
691;G026;2;2;8;2020;0.894882409322849;1;4;2;28;10;1988;11;11;11521;4;4;3;4;2;4;2;4;1;1;1;2;4;1;4;4;2;4;4;1;2;1;1;1;5;1;4;30;398;;998;;2;2;30;30;30;4;5;8;0;5;5;10;3;10;0;5;0;10;4;0;3;1;3;6;2;2;5;10;;10;99;2;1;2;2;;;4;2;;;3;72;2;72;1;15;1;2;3;9999998;3;9;998;;9;5;1;;7;;;1;121;;7;3;1;6;2;1;1;3;4;4;3
692;G016;2;2;10;2020;104.804.752.757.694;1;4;2;4;1;1978;11;11;11521;4;4;4;2;2;4;2;8;2;2;2;8;2;4;4;2;2;2;4;3;2;4;2;2;4;3;2;95;999;;995;;95;95;95;20;10;2;1;7;0;10;8;8;98;0;10;10;8;0;10;10;2;3;2;1;2;2;2;20;;20;99;1;1;2;1;;;;;2;2;1;80;2;51;1;23;1;2;3;0;1;1;1;;1;4;3;;;;;1;121;;5;3;2;5;3;2;1;5;3;4;3
693;G016;2;2;10;2020;0.832052522295433;1;4;2;5;6;1972;10;10;10041;1;2;2;2;2;4;8;2;2;2;2;4;2;2;4;5;5;2;5;8;2;2;1;1;3;8;4;95;999;;995;;95;95;95;95;95;4;5;8;98;98;98;98;98;98;1;0;0;10;0;0;3;1;2;3;2;2;1;99;;99;99;1;1;2;1;4;4;;;;;1;13;2;16;8;21;4;2;1;0;1;1;6;;5;4;3;;;;;2;121;;5;4;0;5;3;2;1;3;4;4;3
694;G024;1;2;10;2020;108.481.113.361.927;1;4;1;7;10;1957;11;11;11521;4;4;5;3;4;4;4;4;4;4;4;5;5;4;2;2;4;4;4;3;2;4;2;2;5;5;2;10;198;;998;;1;1;10;20;10;4;5;10;10;1;3;2;5;0;10;2;3;0;1;10;7;2;7;1;2;2;5;11;;11;99;2;1;2;2;;;;;3;3;1;14;1;36;;16;1;2;4;0;1;2;998;;9;5;7;;;;;1;121;;3;4;1;5;2;1;1;3;4;4;3
695;G016;2;2;10;2020;108.481.113.361.927;1;4;1;26;5;1960;15;15;15001;3;4;2;1;2;4;2;2;2;2;2;2;4;2;2;2;4;2;4;1;2;4;2;2;4;4;4;10;198;;998;;3;1;10;10;10;4;5;10;0;10;9;10;98;0;10;8;9;0;10;8;1;2;1;1;2;2;8;10;;10;99;2;2;9;2;;;;;2;2;1;76;1;76;2;14;1;2;1;0;1;1;1;;1;4;3;;;;;1;121;;2;3;0;6;2;1;1;2;4;4;3
696;G016;2;2;10;2020;0.832052522295433;1;4;2;19;5;1963;11;11;11221;1;2;2;1;4;2;4;2;2;4;4;2;2;4;4;2;2;2;1;3;1;1;1;1;3;1;4;30;398;;990;609 MUJICA;97;2;30;30;30;5;5;3;3;8;8;10;7;9;0;3;0;5;1;0;2;1;2;4;2;2;2;10;;10;99;1;2;2;2;2;2;;;;;2;66;2;44;1;56;1;2;7;9999998;1;1;1;;2;2;3;;;;;1;121;;3;3;6;1;6;3;3;12;1;1;1
697;G026;2;2;10;2020;108.481.113.361.927;1;4;1;5;10;1952;10;10;10008;1;1;2;2;2;2;4;4;1;3;3;4;4;2;4;2;2;5;2;3;2;1;1;1;3;1;1;30;360;;990;1001;1;2;30;30;95;5;4;0;3;6;6;10;6;8;5;2;0;8;4;3;2;1;1;4;2;2;2;10;;10;99;1;1;2;1;;;3;4;;;2;14;1;50;;23;1;2;4;9999998;3;9;998;;9;5;4;;7;;;1;121;;2;4;3;5;3;2;1;6;3;4;3
698;G022;1;2;10;2020;0.832052522295433;1;4;2;13;7;1954;28;28;28001;1;2;2;2;4;2;4;4;4;4;4;2;4;4;4;4;2;2;4;3;4;2;3;2;4;1;4;20;230;;998;;2;2;10;10;10;4;5;5;3;7;6;8;7;0;7;5;3;2;6;7;2;3;3;5;2;2;4;11;;20;99;2;2;9;2;;;;;4;1;1;14;2;96;;56;1;2;6;0;3;9;998;;9;4;3;;7;;;1;121;;2;4;6;1;6;3;3;12;1;1;1
699;G026;2;2;10;2020;104.804.752.757.694;1;4;2;9;7;1978;23;23;23001;2;2;2;4;2;4;4;2;1;1;2;2;2;1;1;4;2;5;4;3;2;2;1;3;5;2;2;10;111;;990;40;2;1;10;30;30;1;4;6;9;8;5;3;2;6;8;5;4;7;8;6;2;2;2;9;2;2;2;10;;10;99;2;2;2;1;4;4;;;;;2;52;2;52;1;26;1;2;3;0;1;1;1;;1;4;3;;7;;;1;121;;3;2;1;5;4;2;2;5;3;4;3
700;G017;2;2;10;2020;108.481.113.361.927;1;4;1;14;6;1964;26;26;26001;4;2;3;1;1;3;3;4;2;4;4;4;2;4;5;2;4;5;4;3;2;3;4;2;4;4;8;20;210;;998;;1;1;91;20;91;4;4;7;1;6;7;9;4;0;6;10;9;0;10;7;2;3;1;1;2;2;3;20;;20;99;2;1;2;2;1;2;;;;;1;50;1;50;1;24;1;2;5;0;1;2;998;;9;4;3;;4;7;;1;121;;2;2;3;5;4;2;1;7;2;2;1
701;G023;1;2;10;2020;136.642.050.352.914;1;4;1;23;5;1976;26;26;26001;2;4;8;2;2;4;2;4;2;4;4;4;3;4;5;2;2;5;2;1;2;2;97;98;2;1;2;20;230;;990;600;1;2;95;95;95;4;4;5;4;10;9;10;9;0;0;0;0;0;0;0;2;96;9;;2;2;2;11;;10;10;9;1;2;1;;;4;4;;;1;70;2;52;1;16;1;2;2;0;3;9;998;;9;5;3;;1;;;1;121;;4;3;1;5;2;1;1;3;4;4;3
702;G022;1;2;10;2020;0.894882409322849;1;4;2;28;2;1999;23;23;23001;2;2;2;2;4;4;4;4;2;2;2;4;2;4;4;1;1;5;1;2;4;1;1;1;8;1;4;30;398;;998;;2;2;30;90;90;5;5;3;4;9;7;9;5;9;2;3;0;5;2;3;1;1;1;4;2;2;2;10;;30;99;1;1;2;9;;;;;2;2;2;47;2;46;1;26;4;2;2;0;3;9;998;;9;5;3;;7;;;1;121;;4;2;3;4;4;2;2;7;2;2;1
703;G013;2;2;10;2020;104.804.752.757.694;1;4;2;28;2;1976;13;13;13521;3;3;8;2;2;8;8;2;8;2;2;2;7;7;4;3;2;4;4;1;2;3;2;2;4;5;1;10;160;;990;404;2;1;10;10;10;5;4;8;1;8;98;7;98;1;8;5;8;1;8;5;2;2;1;1;2;2;3;20;;20;99;2;1;2;2;;;4;2;;;2;52;1;52;2;16;1;2;1;0;1;2;998;;9;4;3;;7;;;1;121;;6;2;1;5;2;1;1;3;4;4;3
704;G017;2;2;10;2020;104.804.752.757.694;1;4;2;25;10;1976;11;11;11221;1;3;4;2;2;4;4;2;2;2;2;2;4;4;4;1;1;4;2;2;1;2;1;1;2;2;8;97;999;;997;;1;97;30;30;30;3;1;0;10;10;3;8;5;10;0;0;0;10;0;0;8;1;1;2;2;2;1;10;;10;99;2;1;2;2;2;2;;;;;3;55;2;56;1;16;1;2;3;0;1;2;998;;9;4;3;;7;;;1;121;;2;2;1;5;2;1;1;3;4;4;3
705;G023;1;2;10;2020;0.832052522295433;1;4;2;10;4;1963;17;17;17521;2;4;4;4;4;4;2;1;1;1;8;8;8;2;1;4;4;2;5;2;1;2;2;2;3;2;2;10;112;;990;71;2;1;10;10;10;4;4;3;4;8;7;8;5;4;3;3;6;5;10;8;2;2;1;1;1;1;2;10;;20;30;2;1;1;2;;;1;1;;;1;32;1;32;1;16;1;2;2;0;1;2;998;;9;2;3;;;;;1;701;;3;1;1;5;2;1;1;3;4;4;3
706;G013;2;2;10;2020;104.804.752.757.694;1;4;2;21;10;1980;11;11;11221;1;2;2;1;2;4;4;4;2;4;4;4;2;4;4;5;5;2;5;2;2;3;2;2;4;4;2;10;110;;990;440;2;1;10;10;10;5;4;9;2;10;8;10;6;0;9;8;1;0;9;7;3;2;2;1;1;2;1;10;;10;99;2;2;2;2;;;4;4;;;1;42;1;42;1;64;1;2;5;0;1;1;3;;5;1;3;;7;;;1;121;;3;2;5;2;6;3;3;11;1;1;1
707;G022;1;2;10;2020;116.672.730.975.602;1;4;1;24;9;1985;12;12;12001;4;1;2;2;4;4;4;2;2;2;2;2;4;2;4;1;2;4;4;1;2;2;1;4;2;1;2;74;740;;998;;2;1;10;30;30;2;5;8;9;7;2;9;1;10;0;0;10;0;7;0;3;1;2;3;1;2;2;30;;30;99;2;1;1;2;1;1;;;;;1;51;1;51;1;16;4;2;6;0;2;9;998;;9;4;3;;7;;;1;121;;2;2;2;5;2;1;1;4;4;4;3
708;G023;1;2;10;2020;0.894882409322849;1;4;2;1;1;1986;25;25;25001;3;1;4;1;1;4;1;1;2;4;1;2;4;4;5;2;2;2;2;2;1;2;2;3;3;8;3;10;110;;990;404;1;1;10;10;10;5;5;8;1;8;5;5;5;1;10;5;4;5;5;7;2;2;1;1;1;1;1;10;;10;10;2;2;2;2;;;;;1;1;1;22;1;22;2;54;3;2;4;0;1;1;1;;3;4;3;;;;;1;121;;2;1;5;2;6;3;3;11;1;1;1
709;G022;1;2;10;2020;136.642.050.352.914;1;4;1;23;12;1977;10;10;10008;4;4;4;2;2;4;2;2;2;2;2;2;3;2;4;2;2;5;2;1;1;2;1;1;5;5;4;30;398;;998;;2;2;30;30;30;2;5;5;4;8;10;10;5;8;3;4;3;7;2;5;4;1;3;2;2;2;2;10;;10;99;2;1;1;1;1;1;;;;;1;51;1;51;1;23;3;2;4;0;3;9;998;;9;5;3;;2;7;;1;121;;2;2;2;5;3;2;1;5;3;4;3
710;G017;2;2;10;2020;104.804.752.757.694;1;4;2;1;6;1982;12;12;12001;2;3;4;2;1;4;2;4;2;2;2;4;4;2;4;3;2;2;3;1;4;1;1;1;1;1;8;30;350;;990;609;1;2;30;30;30;5;4;0;0;10;10;10;5;8;0;0;0;8;0;0;2;1;2;2;2;2;1;30;;30;99;1;1;2;1;;;;;2;3;2;13;1;50;;25;4;2;1;0;1;2;998;;9;4;8;;7;;;1;121;;3;4;3;5;4;2;1;7;2;2;1
711;G022;1;2;10;2020;0.832052522295433;1;4;2;24;8;1973;23;23;23001;4;4;4;2;1;4;2;2;2;2;5;4;2;4;4;2;2;4;4;2;2;3;3;3;5;2;2;91;999;;991;;91;91;91;91;91;2;2;6;1;6;6;5;2;1;6;6;5;2;6;6;3;3;2;1;2;2;2;11;;11;99;2;2;2;2;2;2;;;;;1;55;1;55;3;23;3;2;1;0;3;9;998;;9;5;3;;7;;;1;121;;1;2;1;5;3;2;1;4;4;4;3
712;G011;2;2;10;2020;0.832052522295433;1;4;2;10;6;1960;10;10;10008;1;1;1;1;4;2;5;5;7;5;4;5;3;4;4;2;2;4;2;3;4;4;2;2;5;2;2;98;999;;997;;3;97;10;20;10;7;5;5;4;8;8;10;5;0;10;10;0;0;10;0;1;96;9;;2;2;8;20;;33;99;9;2;9;2;4;4;;;;;1;66;1;66;1;56;4;2;97;0;1;2;998;;9;5;1;;4;;;1;121;;2;3;6;1;6;3;3;12;1;1;1
713;G026;2;2;10;2020;108.481.113.361.927;1;4;1;23;2;1964;11;11;11221;2;2;2;1;2;2;2;4;1;2;2;2;1;4;4;1;1;4;2;3;2;2;1;1;2;1;7;30;350;;990;609;3;2;30;30;30;4;4;6;5;8;8;9;7;10;3;4;0;6;3;3;2;1;1;4;2;2;2;20;;20;99;1;1;2;9;;;;;3;4;1;25;2;22;8;33;1;1;98;0;2;9;998;;9;4;3;;4;;;1;121;;3;1;5;2;3;2;1;8;2;2;1
714;G013;2;2;10;2020;108.481.113.361.927;1;4;1;0;0;1957;13;13;13521;2;1;2;4;2;5;2;2;2;1;5;4;2;8;4;1;2;4;2;2;3;2;1;1;2;1;5;30;360;;990;#¿NOMBRE?;3;2;30;30;30;5;5;0;0;10;10;10;10;10;0;0;0;10;0;0;1;1;1;97;2;2;4;30;;30;99;9;1;2;1;4;4;;;;;1;63;2;63;1;21;1;2;1;0;3;9;998;;9;5;3;;7;;;3;121;;2;3;4;2;3;2;1;7;2;2;1
715;G022;1;2;10;2020;136.642.050.352.914;1;4;1;1;5;1982;17;17;17521;1;1;1;1;4;1;4;2;4;4;4;4;2;2;4;4;2;5;4;3;2;2;2;2;4;1;3;10;110;;990;2525;3;2;10;10;10;2;4;5;4;7;8;10;7;4;10;6;5;5;10;4;2;2;1;8;2;2;3;30;;10;99;2;1;2;2;2;2;;;;;1;20;1;20;1;57;1;2;7;0;2;9;998;;9;5;4;;7;;;1;121;;2;1;6;1;6;3;3;12;1;1;1
716;G017;2;2;10;2020;0.832052522295433;1;4;2;16;9;1974;20;20;20999;3;3;2;1;3;5;2;8;3;4;2;4;3;4;4;2;2;2;3;2;4;2;98;98;4;5;8;96;999;;996;;96;96;96;30;30;4;4;4;3;8;9;10;98;7;4;1;0;5;5;5;1;1;2;4;2;2;1;10;;10;99;9;1;2;9;;;4;4;;;1;21;1;21;1;57;1;1;7;0;1;1;1;;1;1;3;;7;;;1;121;;2;1;6;1;6;3;3;12;1;1;1
